	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23
272	3	0	8	11	2	3	2	0	2	2	0	18	-	-	-	-	-	-	-	-	-	-	-	-
273	2	37	0	4	2	6	2	0	2	22	4	3	9	2	2	16	16	17	-	-	-	-	-	-
274	5	3	0	4	2	0	2	0	2	0	4	0	29	2	2	0	22	9	-	-	-	-	-	-
275	5	3	19	28	2	0	2	0	2	0	0	0	30	2	2	6	0	0	-	-	-	-	-	-
276	3	0	0	3	7	3	-	-	-	0	15	0	0	3	4	0	0	0	0	2	0	5	0	0
277	-	-	-	9	2	2	-	-	-	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
278	-	-	-	26	0	0	-	-	-	0	0	2	14	3	3	27	0	0	0	2	13	15	0	0
279	0	8	0	4	2	3	2	0	2	0	4	3	0	2	2	33	0	23	-	-	-	-	-	-
280	6	34	0	0	2	0	4	7	16	-	-	-	2	2	2	6	7	7	-	-	-	-	-	-
281	-	-	-	6	2	2	-	-	-	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
282	9	10	0	4	2	0	2	0	2	6	4	19	2	2	2	0	0	9	-	-	-	-	-	-
283	3	0	0	-	-	-	-	-	-	0	0	2	31	3	3	18	0	0	15	2	0	0	0	0
284	5	3	8	4	2	22	2	0	2	2	4	3	0	2	2	6	23	0	-	-	-	-	-	-
285	12	0	0	4	2	0	2	0	2	0	4	0	6	2	2	6	0	9	-	-	-	-	-	-
286	2	0	0	4	2	0	2	0	2	0	4	0	9	2	2	-	-	-	-	-	-	-	-	-
287	3	18	12	3	2	0	0	0	9	-	-	-	0	2	2	0	0	0	-	-	-	-	-	-
288	0	0	27	0	2	0	2	0	2	0	0	6	11	2	2	7	6	0	-	-	-	-	-	-
289	3	0	0	0	0	0	-	-	-	0	0	2	2	3	3	0	0	24	0	2	6	-	-	-
290	3	0	0	29	0	0	-	-	-	0	0	0	0	3	4	0	24	10	0	2	0	0	0	0
291	-	-	-	3	0	25	-	-	-	0	0	0	14	8	4	-	-	-	0	13	0	0	0	0
292	3	0	0	3	0	0	-	-	-	0	15	0	0	3	4	0	0	0	15	2	0	18	15	15
293	0	8	0	4	2	3	2	9	2	22	4	3	7	2	2	11	0	7	-	-	-	-	-	-
294	3	0	0	-	-	-	-	-	-	0	11	0	2	3	3	7	6	0	0	2	17	8	0	19
295	0	2	28	0	2	2	3	6	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
296	3	0	0	30	7	16	-	-	-	-	-	-	-	-	-	-	-	-	9	0	0	0	0	15
297	-	-	-	14	0	0	-	-	-	23	0	20	11	0	0	15	12	0	16	0	0	0	0	15
298	-	-	-	0	0	0	-	-	-	0	0	2	0	3	3	0	5	5	17	2	0	0	0	14
299	4	2	3	0	2	2	0	0	3	-	-	-	2	2	2	6	0	3	-	-	-	-	-	-
300	2	0	8	4	2	6	2	0	2	2	4	3	2	2	2	0	0	25	-	-	-	-	-	-
301	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	16	16	17	0	2	0	0	16	20
302	0	0	6	4	2	26	2	0	2	0	4	0	0	2	2	0	3	9	-	-	-	-	-	-
303	-	-	-	14	0	0	-	-	-	23	0	20	11	0	0	15	12	0	0	0	0	0	0	15
304	0	0	29	3	2	8	2	0	2	24	0	21	32	2	2	0	11	11	-	-	-	-	-	-
305	0	22	6	4	2	0	2	0	2	0	4	0	0	2	2	0	3	9	-	-	-	-	-	-
306	22	38	0	6	2	7	2	6	2	0	0	6	2	2	2	34	25	7	-	-	-	-	-	-
307	23	0	2	3	2	2	0	28	3	-	-	-	5	2	2	35	0	3	-	-	-	-	-	-
308	3	0	0	0	0	0	-	-	-	0	3	8	0	0	0	0	0	0	0	0	17	-	-	-
309	-	-	-	0	2	2	0	0	3	-	-	-	11	2	2	-	-	-	-	-	-	-	-	-
310	0	8	0	4	2	3	2	0	2	0	4	3	2	2	2	0	0	23	-	-	-	-	-	-
311	3	0	3	-	-	-	-	-	-	0	11	0	0	3	3	0	0	0	0	2	0	8	0	0
312	3	0	0	0	0	0	-	-	-	0	20	22	-	-	-	10	0	26	0	0	0	0	5	0
313	12	24	0	0	2	20	11	0	0	-	-	-	9	2	2	-	-	-	-	-	-	-	-	-
314	3	0	8	20	0	0	-	-	-	0	0	2	2	3	3	9	8	10	0	2	18	-	-	-
315	-	-	-	-	-	-	-	-	-	0	0	2	2	3	3	-	-	-	0	2	0	19	17	0
316	3	0	0	6	6	17	-	-	-	0	21	0	-	-	-	6	0	7	-	-	-	0	0	0
317	6	7	2	8	2	27	4	7	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
318	6	9	0	-	-	-	14	12	10	-	-	-	11	2	2	0	7	7	-	-	-	-	-	-
319	24	8	8	4	2	3	2	9	2	22	4	3	7	2	2	6	0	0	-	-	-	-	-	-
320	3	0	3	-	-	-	-	-	-	0	0	0	0	3	3	0	5	5	0	2	0	0	0	0
321	5	3	6	-	-	-	2	0	2	0	4	8	2	2	2	0	3	9	-	-	-	-	-	-
322	3	0	0	-	-	-	-	-	-	0	21	2	2	3	3	-	-	-	0	2	0	8	18	0
323	0	0	0	0	2	2	0	0	3	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
324	0	8	2	4	2	7	2	29	2	2	4	3	18	2	2	-	-	-	-	-	-	-	-	-
325	25	0	30	0	2	28	2	0	2	-	-	-	0	2	2	14	26	0	-	-	-	-	-	-
326	6	5	2	21	8	19	7	8	0	-	-	-	2	2	2	6	7	7	-	-	-	-	-	-
327	-	-	-	0	2	16	4	7	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
328	0	0	3	0	2	0	0	0	0	-	-	-	-	-	-	36	0	0	-	-	-	-	-	-
329	-	-	-	0	0	0	-	-	-	0	0	2	33	3	3	0	0	6	17	2	0	-	-	-
330	2	0	0	6	2	0	9	20	0	-	-	-	14	2	2	-	-	-	-	-	-	-	-	-
331	-	-	-	0	2	0	5	30	17	-	-	-	0	2	2	0	27	27	-	-	-	-	-	-
332	2	2	28	0	2	2	7	8	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
333	2	0	15	4	2	0	2	0	2	6	4	0	2	2	2	-	-	-	-	-	-	-	-	-
334	2	8	8	4	2	26	2	0	2	2	4	3	0	2	2	6	0	10	-	-	-	-	-	-
335	-	-	-	-	-	-	-	-	-	0	0	0	0	3	3	37	3	0	6	2	0	8	0	21
336	2	8	8	4	2	16	2	0	2	2	4	3	0	2	2	-	-	-	-	-	-	-	-	-
337	2	0	0	4	2	6	2	0	2	4	4	3	0	2	2	10	5	5	-	-	-	-	-	-
338	0	8	0	4	2	3	2	0	2	25	4	3	0	2	2	38	0	23	-	-	-	-	-	-
339	6	5	8	-	-	-	0	0	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
340	2	0	0	9	2	2	5	0	3	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
341	3	0	0	-	-	-	-	-	-	0	0	2	2	3	3	-	-	-	0	2	0	0	0	0
342	3	7	0	-	-	-	-	-	-	0	0	0	2	3	3	7	6	0	0	2	0	8	0	0
343	3	0	8	0	2	0	2	0	2	0	0	4	7	2	2	7	6	0	-	-	-	-	-	-
344	3	24	0	-	-	-	-	-	-	0	21	2	2	3	3	-	-	-	6	2	19	8	0	0
345	9	10	31	4	2	0	2	0	2	6	4	0	34	2	2	0	5	5	-	-	-	-	-	-
346	2	22	6	4	2	3	2	0	2	0	4	0	0	2	2	0	3	9	-	-	-	-	-	-
347	2	0	8	31	2	20	9	31	18	-	-	-	7	2	2	-	-	-	-	-	-	-	-	-
348	0	39	0	3	2	2	24	0	3	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
349	11	4	4	0	2	2	5	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
350	3	0	0	32	15	29	-	-	-	0	0	2	0	3	3	-	-	-	0	2	6	-	-	-
351	26	0	8	0	2	2	25	0	3	-	-	-	11	2	2	0	0	3	-	-	-	-	-	-
352	0	0	29	-	-	-	2	0	2	-	-	-	32	2	2	0	11	11	-	-	-	-	-	-
353	27	8	8	4	2	3	2	9	2	22	4	3	7	2	2	11	0	7	-	-	-	-	-	-
354	3	0	0	0	0	0	-	-	-	0	0	2	0	3	3	0	0	6	17	2	0	-	-	-
355	3	0	32	0	16	30	-	-	-	0	21	2	2	3	3	0	0	0	0	2	20	0	0	22
356	3	0	0	10	0	0	-	-	-	0	22	2	2	3	3	9	8	0	0	2	0	-	-	-
357	3	0	0	-	-	-	-	-	-	0	0	2	-	-	-	-	-	-	0	2	0	0	0	0
358	0	2	28	0	2	2	7	8	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
359	28	0	33	0	2	2	0	0	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
360	3	0	3	0	2	0	2	13	2	0	0	0	7	2	2	0	0	28	-	-	-	-	-	-
361	0	8	0	4	2	3	2	0	2	0	4	3	2	2	2	-	-	-	-	-	-	-	-	-
362	6	9	8	-	-	-	14	12	10	-	-	-	11	2	2	0	7	7	-	-	-	-	-	-
363	3	0	0	3	0	0	-	-	-	-	-	-	0	0	7	0	0	7	18	14	21	0	0	0
364	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	10	3	29	3	4	3	8	0	0
365	2	40	0	4	2	6	2	0	2	6	4	3	2	2	2	39	0	0	-	-	-	-	-	-
366	3	40	8	13	3	11	-	-	-	0	0	2	0	3	3	0	0	0	0	2	22	0	19	23
367	5	3	6	4	2	20	2	0	2	0	4	0	0	2	2	-	-	-	-	-	-	-	-	-
368	0	2	28	0	2	2	0	0	3	-	-	-	2	2	2	13	0	3	-	-	-	-	-	-
369	-	-	-	0	0	0	-	-	-	-	-	-	2	0	4	6	0	0	0	0	0	8	0	0
370	3	0	0	0	0	3	-	-	-	0	0	2	-	-	-	0	0	6	17	2	0	-	-	-
371	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	0	0	0	6	2	0	20	0	0
372	3	41	0	-	-	-	-	-	-	0	21	2	2	3	3	-	-	-	0	2	6	21	0	0
373	29	8	0	4	2	0	2	13	2	4	4	3	2	2	2	6	0	0	-	-	-	-	-	-
374	2	2	28	3	2	2	0	0	3	-	-	-	2	2	8	0	0	3	-	-	-	-	-	-
375	30	2	0	-	-	-	0	32	3	-	-	-	0	2	2	3	0	3	-	-	-	-	-	-
376	3	16	0	0	0	0	-	-	-	0	0	2	2	3	3	9	8	0	0	2	0	-	-	-
377	6	42	0	0	2	0	11	0	0	-	-	-	25	2	2	0	7	7	-	-	-	-	-	-
378	0	43	2	3	2	31	5	33	19	0	7	0	7	2	2	15	28	0	-	-	-	-	-	-
379	3	0	0	-	-	-	-	-	-	0	8	9	0	3	3	16	16	17	0	2	0	-	-	-
380	12	8	0	4	2	3	2	9	2	22	4	3	7	2	2	11	0	7	-	-	-	-	-	-
381	31	0	0	-	-	-	0	0	20	-	-	-	-	-	-	40	29	0	-	-	-	-	-	-
382	0	2	28	0	2	2	0	0	3	-	-	-	2	2	2	41	30	3	-	-	-	-	-	-
383	-	-	-	0	2	2	26	0	3	-	-	-	0	2	2	0	31	3	-	-	-	-	-	-
384	2	44	0	13	3	11	0	27	15	-	-	-	0	2	2	16	16	17	-	-	-	-	-	-
385	-	-	-	12	2	0	2	0	9	-	-	-	13	2	2	6	0	0	-	-	-	-	-	-
386	3	0	2	0	0	0	-	-	-	-	-	-	0	0	4	15	0	0	6	0	0	8	0	0
387	0	22	6	4	2	0	2	34	2	0	4	0	35	2	2	0	3	9	-	-	-	-	-	-
388	3	0	0	0	0	29	-	-	-	0	0	2	0	3	3	-	-	-	0	2	6	-	-	-
389	2	45	34	4	2	32	2	0	2	0	4	8	2	2	2	-	-	-	-	-	-	-	-	-
390	2	0	35	4	2	33	2	0	2	26	4	0	9	2	2	6	0	30	-	-	-	-	-	-
391	0	0	2	-	-	-	2	0	2	16	14	15	11	2	2	6	0	0	-	-	-	-	-	-
392	6	9	8	-	-	-	27	35	21	-	-	-	2	2	2	3	7	7	-	-	-	-	-	-
393	32	0	2	0	2	0	2	0	2	6	0	23	7	2	2	16	16	17	-	-	-	-	-	-
394	6	9	0	3	2	0	28	0	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
395	33	46	36	3	2	2	-	-	-	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
396	6	9	37	-	-	-	27	35	21	-	-	-	2	2	2	0	7	7	-	-	-	-	-	-
397	3	47	0	0	0	0	-	-	-	0	0	0	0	3	4	4	0	0	6	2	0	5	0	0
398	6	4	4	0	2	0	4	7	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
399	3	0	0	-	-	-	-	-	-	0	0	22	0	3	3	-	-	-	-	-	-	0	0	6
400	3	7	0	-	-	-	-	-	-	0	23	0	0	3	3	-	-	-	0	2	0	22	4	5
401	-	-	-	-	-	-	14	12	10	-	-	-	2	2	2	10	7	7	-	-	-	-	-	-
402	0	22	6	4	2	0	2	13	2	-	-	-	7	2	2	0	3	9	-	-	-	-	-	-
403	-	-	-	8	2	2	0	6	3	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
404	-	-	-	-	-	-	9	0	0	0	0	0	0	3	3	-	-	-	0	2	23	22	4	5
405	0	2	28	6	2	2	0	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
406	-	-	-	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	6	5	8	0	0
407	3	15	0	-	-	-	-	-	-	0	0	0	0	3	3	0	0	0	6	2	0	20	0	0
408	3	0	0	33	0	3	-	-	-	0	0	2	0	3	3	4	0	0	0	2	0	0	0	0
409	2	0	38	3	2	0	0	27	15	-	-	-	7	2	2	16	16	17	-	-	-	-	-	-
410	34	0	0	0	2	2	5	0	3	-	-	-	7	2	2	0	0	3	-	-	-	-	-	-
411	3	47	0	0	0	0	-	-	-	0	0	0	7	3	4	4	0	0	6	2	6	5	0	0
412	3	7	0	0	0	0	-	-	-	0	0	2	9	3	3	0	0	6	17	2	0	-	-	-
413	31	0	39	-	-	-	0	0	20	-	-	-	-	-	-	42	0	0	-	-	-	-	-	-
414	0	8	0	0	2	2	0	31	3	-	-	-	2	2	2	43	0	3	-	-	-	-	-	-
415	3	0	0	32	15	29	-	-	-	0	0	2	2	3	3	-	-	-	0	2	6	-	-	-
416	22	8	0	4	2	0	2	0	2	6	4	3	2	2	2	0	5	5	-	-	-	-	-	-
417	35	0	8	0	2	2	0	0	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
418	6	9	37	-	-	-	27	35	21	-	-	-	2	2	2	11	7	7	-	-	-	-	-	-
419	3	48	0	-	-	-	-	-	-	0	0	0	36	9	9	11	0	0	6	2	6	0	0	24
420	0	0	27	34	2	0	2	0	2	2	24	24	2	2	2	0	0	0	-	-	-	-	-	-
421	3	0	8	32	15	29	-	-	-	0	0	2	9	3	3	-	-	-	0	2	6	-	-	-
422	2	49	0	0	2	7	0	36	0	-	-	-	7	2	2	0	3	0	-	-	-	-	-	-
423	6	9	2	-	-	-	29	6	9	-	-	-	37	2	2	0	7	7	-	-	-	-	-	-
424	3	0	0	-	-	-	-	-	-	0	0	0	38	0	0	0	0	31	0	6	5	23	0	0
425	9	10	19	-	-	-	0	30	3	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
426	3	0	0	0	0	0	-	-	-	0	0	2	33	3	3	0	32	6	17	15	24	-	-	-
427	0	0	3	-	-	-	0	0	3	-	-	-	9	2	2	10	0	3	-	-	-	-	-	-
428	3	0	0	-	-	-	-	-	-	0	0	2	0	3	3	18	0	0	-	-	-	8	0	0
429	6	50	0	0	2	27	4	7	0	-	-	-	0	2	2	4	7	7	-	-	-	-	-	-
430	2	12	0	4	2	6	2	0	2	2	4	3	0	2	2	44	0	7	-	-	-	-	-	-
431	6	0	0	-	-	-	4	7	0	-	-	-	7	2	2	6	7	7	-	-	-	-	-	-
432	3	0	0	0	0	0	-	-	-	0	0	2	39	3	3	0	0	6	17	2	0	-	-	-
433	3	0	0	30	0	0	-	-	-	-	-	-	11	0	10	10	32	11	0	16	0	24	0	15
434	0	0	8	0	0	0	30	0	0	0	0	25	0	0	0	6	33	11	8	7	0	0	0	0
435	2	0	2	0	2	0	2	0	2	17	8	9	0	2	2	16	16	17	-	-	-	-	-	-
436	6	9	0	3	2	0	0	0	9	-	-	-	40	0	11	0	7	7	-	-	-	-	-	-
437	3	0	0	35	6	17	-	-	-	0	0	0	-	-	-	45	0	0	9	0	0	25	0	0
438	6	50	0	0	2	27	-	-	-	-	-	-	0	2	2	4	7	7	-	-	-	-	-	-
439	3	0	2	3	0	0	-	-	-	2	3	0	2	0	0	7	6	0	19	0	0	19	17	0
440	12	51	40	-	-	-	0	0	0	0	0	0	-	-	-	6	5	5	6	0	0	8	0	0
441	3	0	0	0	0	0	-	-	-	0	5	2	0	3	3	0	0	0	3	4	3	-	-	-
442	4	2	0	3	2	2	11	37	3	-	-	-	2	2	2	15	0	3	-	-	-	-	-	-
443	12	8	2	4	2	7	2	38	2	27	4	3	-	-	-	-	-	-	-	-	-	-	-	-
444	2	50	2	-	-	-	0	0	0	11	10	0	-	-	-	46	0	0	-	-	-	-	-	-
445	5	3	41	-	-	-	2	0	2	0	25	0	2	2	2	47	0	0	-	-	-	-	-	-
446	3	8	0	0	0	0	-	-	-	0	0	2	0	3	3	29	21	22	14	2	0	-	-	-
447	3	0	0	3	0	0	-	-	-	7	0	0	0	0	0	0	0	0	2	3	2	9	8	9
448	0	8	8	4	2	3	2	9	2	22	4	3	7	2	2	0	0	0	-	-	-	-	-	-
449	2	0	0	6	2	20	9	20	0	-	-	-	2	2	2	0	0	0	-	-	-	-	-	-
450	0	22	6	-	-	-	2	0	2	7	4	0	41	2	2	0	3	9	-	-	-	-	-	-
451	3	0	0	32	15	29	-	-	-	0	0	2	0	3	3	-	-	-	6	2	6	-	-	-
452	-	-	-	28	2	0	2	39	2	7	8	9	0	2	2	-	-	-	-	-	-	-	-	-
453	3	0	0	-	-	-	-	-	-	0	0	2	33	3	3	0	32	6	17	15	24	-	-	-
454	26	0	2	36	2	2	0	0	3	-	-	-	0	2	2	0	0	3	-	-	-	-	-	-
455	3	0	0	-	-	-	-	-	-	0	0	2	0	3	3	18	0	7	-	-	-	8	0	0
456	36	0	6	4	2	20	2	5	2	-	-	-	0	2	2	0	0	9	-	-	-	-	-	-
457	26	0	8	6	2	2	30	0	3	-	-	-	11	2	2	0	0	3	-	-	-	-	-	-
458	5	3	0	0	2	0	-	-	-	2	0	6	2	2	2	-	-	-	-	-	-	-	-	-
459	-	-	-	37	2	0	-	-	-	-	-	-	42	2	2	0	7	7	-	-	-	-	-	-
460	0	0	0	0	2	34	9	10	7	-	-	-	-	-	-	48	34	0	-	-	-	-	-	-
461	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	0	2	0	0	0	0
462	2	8	0	4	2	3	2	40	2	10	4	3	0	2	2	6	0	7	-	-	-	-	-	-
463	4	2	3	3	2	2	9	0	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
464	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	6	0	0	6	2	0	20	0	0
465	3	22	6	4	2	0	2	0	2	0	4	0	0	2	2	6	3	9	-	-	-	-	-	-
466	3	0	0	-	-	-	-	-	-	0	21	0	2	3	3	0	0	0	0	2	13	0	0	0
467	3	52	8	0	0	29	-	-	-	0	26	2	2	3	3	-	-	-	0	2	6	-	-	-
468	0	0	2	38	2	0	2	0	2	28	27	26	0	2	2	16	16	17	-	-	-	-	-	-
469	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	37	3	0	6	2	0	8	0	21
470	-	-	-	14	0	35	-	-	-	0	0	20	11	10	0	0	12	0	0	0	0	0	0	0
471	4	2	3	0	2	2	0	0	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
472	0	0	10	13	3	11	31	41	20	-	-	-	7	2	2	0	0	0	-	-	-	-	-	-
473	3	0	0	-	-	-	-	-	-	0	0	0	43	3	3	0	0	0	6	2	0	20	0	0
474	-	-	-	3	2	0	4	7	0	-	-	-	0	2	2	49	7	7	-	-	-	-	-	-
475	-	-	-	0	17	7	0	0	0	7	0	0	0	0	7	-	-	-	6	17	0	-	-	-
476	3	53	0	0	0	0	-	-	-	0	15	0	2	3	4	0	0	30	0	2	0	-	-	-
477	12	24	8	3	2	0	0	0	22	-	-	-	0	2	2	6	35	0	-	-	-	-	-	-
478	3	7	0	-	-	-	-	-	-	0	0	0	0	3	3	0	0	0	0	2	0	8	0	14
479	0	0	6	4	2	0	2	0	2	-	-	-	11	2	2	0	0	9	-	-	-	-	-	-
480	3	0	0	0	18	0	-	-	-	-	-	-	0	0	0	6	0	0	14	0	0	0	0	15
481	6	0	2	-	-	-	4	7	0	-	-	-	-	-	-	0	7	7	-	-	-	-	-	-
482	12	0	0	-	-	-	0	0	0	0	28	27	-	-	-	-	-	-	20	0	0	8	0	0
483	5	3	0	3	2	2	0	0	3	-	-	-	2	2	2	50	0	3	-	-	-	-	-	-
484	6	9	0	-	-	-	0	0	0	-	-	-	-	-	-	6	7	7	-	-	-	-	-	-
485	17	0	0	39	2	2	32	0	3	-	-	-	44	2	2	7	6	3	-	-	-	-	-	-
486	21	36	26	4	2	0	2	0	2	6	4	7	2	2	2	-	-	-	-	-	-	-	-	-
487	37	0	6	4	2	0	2	0	2	-	-	-	9	2	2	0	0	9	-	-	-	-	-	-
488	3	7	0	-	-	-	-	-	-	29	29	28	2	3	3	6	0	0	-	-	-	8	0	14
489	3	0	0	0	0	0	-	-	-	0	0	4	-	-	-	6	4	4	14	0	0	0	0	15
490	3	0	42	0	0	0	-	-	-	0	0	2	0	3	3	29	21	22	15	2	0	0	0	0
491	0	8	2	4	2	7	2	0	2	2	4	3	45	2	2	0	36	0	-	-	-	-	-	-
492	38	0	0	0	2	7	2	42	2	0	12	29	46	2	2	9	8	7	-	-	-	-	-	-
493	3	7	0	-	-	-	-	-	-	29	29	28	0	3	3	0	0	32	-	-	-	8	5	14
494	3	54	0	3	0	0	-	-	-	0	0	2	0	3	3	0	0	0	17	2	0	0	0	14
495	0	0	6	4	2	0	2	0	2	-	-	-	9	2	2	0	0	9	-	-	-	-	-	-
496	2	47	0	40	2	0	2	0	2	0	0	6	0	2	2	51	7	0	-	-	-	-	-	-
497	3	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	11	7	0	0	0	0	0	25
498	3	0	29	28	0	0	-	-	-	0	0	0	0	0	0	0	11	33	0	0	0	5	0	0
499	3	7	0	-	-	-	-	-	-	0	0	0	0	3	3	6	0	0	0	2	0	8	20	14
500	3	0	2	-	-	-	-	-	-	0	0	0	47	3	3	0	3	34	6	2	0	26	0	0
501	3	0	8	-	-	-	-	-	-	0	0	0	0	3	3	16	16	17	0	2	0	0	16	20
502	-	-	-	-	-	-	27	35	21	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
503	3	7	0	-	-	-	-	-	-	29	29	28	2	3	3	0	0	0	-	-	-	8	0	14
504	3	0	0	32	15	0	-	-	-	0	0	30	48	2	2	-	-	-	-	-	-	0	0	0
505	0	55	0	3	2	7	2	0	2	0	12	29	0	2	2	0	0	7	-	-	-	-	-	-
506	3	0	0	0	0	0	-	-	-	-	-	-	2	0	0	0	0	26	-	-	-	13	21	0
507	0	8	2	4	2	7	2	0	2	2	4	3	45	2	2	52	36	35	-	-	-	-	-	-
508	3	7	0	9	0	0	-	-	-	0	0	2	0	3	3	53	0	0	-	-	-	-	-	-
509	3	7	0	-	-	-	-	-	-	29	29	28	0	3	3	-	-	-	-	-	-	8	0	14
510	2	0	0	4	2	0	2	0	2	2	4	0	0	2	2	6	37	9	-	-	-	-	-	-
511	0	0	6	4	2	0	2	13	2	-	-	-	0	2	2	54	4	4	-	-	-	-	-	-
512	2	0	0	0	2	0	0	27	15	-	-	-	-	-	-	16	16	17	-	-	-	-	-	-
513	39	45	34	4	2	0	2	0	2	2	4	8	0	2	2	-	-	-	-	-	-	-	-	-
514	4	56	0	0	2	2	-	-	-	-	-	-	4	2	2	7	6	3	-	-	-	-	-	-
515	21	36	26	9	2	2	-	-	-	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
516	0	0	8	0	2	26	2	26	2	6	30	4	2	2	2	7	6	0	-	-	-	-	-	-
517	40	0	31	0	2	3	-	-	-	-	-	-	0	2	2	0	0	15	-	-	-	-	-	-
518	-	-	-	-	-	-	-	-	-	0	0	0	2	3	3	-	-	-	-	-	-	0	0	6
519	6	5	2	21	8	19	33	43	14	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
520	6	25	7	-	-	-	4	7	0	-	-	-	0	2	2	21	7	7	-	-	-	-	-	-
521	10	4	4	0	2	2	-	-	-	-	-	-	12	2	2	9	8	3	-	-	-	-	-	-
522	3	0	0	41	0	3	-	-	-	-	-	-	49	2	2	6	0	0	21	0	0	0	22	0
523	3	0	0	3	19	0	-	-	-	0	0	2	2	3	3	4	0	0	15	2	13	27	0	0
524	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	-	-	-	-	-	-	0	0	6
525	0	0	6	4	2	26	2	13	2	-	-	-	34	2	2	54	4	4	-	-	-	-	-	-
526	6	0	0	3	2	36	11	0	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
527	3	0	2	42	0	0	-	-	-	0	0	0	0	3	4	54	4	4	0	2	25	5	0	0
528	0	43	0	-	-	-	34	44	23	-	-	-	2	2	2	55	38	36	-	-	-	-	-	-
529	2	57	6	4	2	0	2	0	2	-	-	-	7	2	2	6	0	9	-	-	-	-	-	-
530	2	24	0	4	2	6	2	0	2	2	4	3	0	2	2	0	0	7	-	-	-	-	-	-
531	3	0	0	-	-	-	-	-	-	0	7	0	0	3	3	6	0	37	15	2	0	28	23	0
532	0	0	0	-	-	-	34	44	23	-	-	-	2	2	2	55	38	0	-	-	-	-	-	-
533	2	0	3	9	2	2	5	0	3	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
534	21	36	26	9	2	2	0	0	3	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
535	-	-	-	0	0	0	-	-	-	0	0	2	7	3	3	-	-	-	0	2	0	14	10	13
536	41	58	0	0	20	0	2	45	2	0	0	6	0	2	2	-	-	-	-	-	-	-	-	-
537	0	43	0	-	-	-	34	44	23	-	-	-	2	2	2	55	38	0	-	-	-	-	-	-
538	2	0	6	4	2	0	-	-	-	-	-	-	0	2	2	54	4	4	-	-	-	-	-	-
539	0	0	2	34	2	3	2	0	2	0	0	24	11	2	2	0	5	5	-	-	-	-	-	-
540	-	-	-	0	2	16	2	0	2	0	0	31	5	2	2	-	-	-	-	-	-	-	-	-
541	-	-	-	3	0	4	0	0	4	-	-	-	6	0	0	6	0	0	-	-	-	0	0	3
542	6	9	8	-	-	-	0	0	0	-	-	-	-	-	-	0	7	7	-	-	-	-	-	-
543	3	0	0	3	0	0	-	-	-	0	0	2	2	3	3	56	0	0	17	2	0	0	0	14
