	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23
69	3	0	0	10	0	0	-	-	-	0	0	2	2	3	3	9	8	0	0	2	0	-	-	-
70	11	15	10	13	3	11	11	10	7	-	-	-	2	2	2	6	0	0	-	-	-	-	-	-
71	2	0	0	4	2	0	2	0	2	0	4	3	2	2	2	13	12	0	-	-	-	-	-	-
72	2	0	2	2	2	0	2	0	2	2	3	0	2	2	2	2	2	2	-	-	-	-	-	-
73	2	8	0	4	2	12	2	0	2	0	4	3	2	2	2	0	13	8	-	-	-	-	-	-
74	-	-	-	4	2	6	2	0	2	0	4	3	2	2	2	14	14	13	-	-	-	-	-	-
75	4	2	0	3	2	2	7	8	3	-	-	-	0	2	2	7	6	3	-	-	-	-	-	-
76	0	16	0	4	2	0	2	0	2	6	4	0	2	2	2	-	-	-	-	-	-	-	-	-
77	3	7	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	0	2	0	0	0	0
78	2	0	2	2	2	3	2	0	2	2	0	0	2	2	2	2	2	2	-	-	-	-	-	-
79	0	0	10	13	3	11	5	0	0	-	-	-	14	2	2	0	0	0	-	-	-	-	-	-
80	2	0	2	2	2	0	2	0	2	-	-	-	2	2	2	2	2	2	-	-	-	-	-	-
81	3	0	0	0	0	0	-	-	-	0	0	2	-	-	-	15	0	0	7	2	0	8	5	6
82	0	17	11	4	2	8	-	-	-	5	4	3	10	2	2	6	9	7	-	-	-	-	-	-
83	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	0	15	0	4	2	0	4	0	0
84	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	0	3	14	0	2	0	0	0	0
85	3	0	3	-	-	-	-	-	-	0	0	4	2	3	3	0	0	0	0	2	0	0	6	7
86	-	-	-	0	2	3	2	2	2	8	8	9	0	2	2	0	0	15	-	-	-	-	-	-
87	12	0	0	-	-	-	12	11	8	0	0	0	-	-	-	6	0	16	8	7	6	8	0	0
88	3	0	2	-	-	-	-	-	-	0	0	0	0	3	3	6	5	5	-	-	-	0	0	0
89	3	0	0	0	0	13	-	-	-	0	9	10	-	-	-	-	-	-	-	-	-	0	7	3
90	-	-	-	0	0	0	-	-	-	-	-	-	0	0	4	0	0	0	0	0	6	8	0	0
91	3	0	0	-	-	-	-	-	-	-	-	-	0	3	3	-	-	-	0	2	0	8	0	3
92	3	0	0	4	2	0	2	0	2	0	4	4	9	2	2	0	0	0	-	-	-	-	-	-
93	3	18	12	3	2	14	13	0	9	-	-	-	7	2	2	6	0	0	-	-	-	-	-	-
94	-	-	-	12	2	0	0	0	9	-	-	-	13	2	2	6	0	0	-	-	-	-	-	-
95	0	0	3	14	0	0	-	-	-	9	0	0	-	-	-	0	0	0	-	-	-	5	0	0
96	13	0	2	0	2	0	2	0	2	2	0	0	0	2	2	16	16	17	-	-	-	-	-	-
97	0	0	0	14	0	0	-	-	-	9	0	0	-	-	-	0	0	0	-	-	-	5	0	8
98	-	-	-	-	-	-	2	0	2	-	-	-	11	2	2	7	6	0	-	-	-	-	-	-
99	-	-	-	0	2	0	4	7	3	-	-	-	15	2	2	0	7	7	-	-	-	-	-	-
100	3	7	13	-	-	-	-	-	-	0	7	0	0	3	3	6	17	0	0	2	0	9	8	9
101	0	0	0	0	2	2	0	0	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
102	11	19	14	4	2	0	2	0	2	0	4	0	0	2	2	-	-	-	-	-	-	-	-	-
103	0	0	0	14	0	0	-	-	-	0	0	11	-	-	-	-	-	-	-	-	-	5	0	0
104	0	0	0	9	2	2	0	0	3	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
105	0	20	15	0	2	2	0	0	3	-	-	-	16	2	2	4	0	3	-	-	-	-	-	-
106	0	0	0	0	2	15	2	2	2	2	0	6	0	2	2	7	6	10	-	-	-	-	-	-
107	2	0	0	4	2	6	2	0	2	10	4	3	0	2	2	0	18	18	-	-	-	-	-	-
108	6	21	16	-	-	-	14	12	10	-	-	-	7	2	2	17	7	7	-	-	-	-	-	-
109	-	-	-	0	4	0	-	-	-	-	-	-	0	0	4	0	0	0	0	0	0	8	0	0
110	0	2	0	3	2	2	11	0	3	-	-	-	17	2	2	-	-	-	-	-	-	-	-	-
111	0	0	2	0	2	16	2	0	2	11	10	0	0	2	2	16	16	17	-	-	-	-	-	-
112	3	7	0	-	-	-	-	-	-	0	0	0	2	3	3	6	0	0	6	2	0	0	0	0
113	6	9	2	15	2	0	15	0	11	-	-	-	-	-	-	4	7	7	-	-	-	-	-	-
114	-	-	-	12	2	0	16	0	9	-	-	-	13	2	2	6	0	0	-	-	-	-	-	-
115	0	22	6	4	2	0	2	0	2	2	4	8	2	2	2	0	3	9	-	-	-	-	-	-
116	12	0	0	14	5	0	-	-	-	0	0	11	-	-	-	-	-	-	-	-	-	5	0	0
117	3	0	0	0	6	17	-	-	-	0	0	0	0	3	4	10	0	0	6	8	7	5	0	0
118	-	-	-	16	2	3	2	0	2	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
119	14	0	0	0	2	2	0	13	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
120	2	0	0	9	2	2	0	14	3	-	-	-	12	2	2	6	0	3	-	-	-	-	-	-
121	11	0	0	16	2	3	2	0	2	-	-	-	0	2	2	10	19	8	-	-	-	-	-	-
122	0	0	0	14	0	16	-	-	-	9	0	0	-	-	-	6	0	0	-	-	-	5	0	0
123	3	4	4	0	0	0	-	-	-	0	0	2	18	3	3	4	0	0	6	2	0	0	9	0
124	3	0	17	-	-	-	-	-	-	0	0	2	14	3	3	18	0	0	0	2	0	0	0	0
125	15	0	0	4	2	0	2	0	2	12	4	0	0	2	2	0	0	9	-	-	-	-	-	-
126	3	23	0	3	0	0	-	-	-	0	0	0	19	4	0	0	0	0	9	0	0	0	0	0
127	0	0	0	14	0	0	-	-	-	9	0	0	-	-	-	0	0	0	-	-	-	5	0	10
